PLACES,CITIES
St. Pierre Kilisesi (Aziz Petrus Kilisesi),Hatay
Taş Köprü,Adana
Cennet Cehennem Mağaraları,Mersin
Kız Kalesi,Mersin
Aspendos Tiyatrosu,Antalya
Kaleiçi,Antalya
Olympos Antik Kenti,Antalya
Patara Antik Kenti,Antalya
Sagalassos Antik Kenti,Burdur
Perge Antik Kenti,Antalya
İnsuyu Mağarası,Burdur
Hadrian Kapısı,Antalya
Xanthos Antik Kenti,Antalya
Letoon Antik Kenti,Muğla
Myra Antik Kenti,Antalya
Sümela Manastırı,Trabzon
Sinop Tarihi Cezaevi,Sinop
Safranbolu Evleri,Karabük
Bandırma Vapuru,Samsun
Zilkale,Rize
Yalıboyu Evleri,Amasya
Kurul Kayalıkları,Ordu
Santa Harabeleri,Gümüşhane
Vazelon Manastırı,Trabzon
Hattuşaş Antik Kenti,Çorum
Alacahöyük Müze ve Ören Yeri,Çorum
Efes Antik Kenti,İzmir
Çeşme Kalesi,İzmir
Meryem Ana Evi,İzmir
Didyma Antik Kenti,Aydın
Güvercinada Kalesi,Aydın
Hierapolis Antik Kenti,Denizli
Bodrum Kalesi ve Sualtı Arkeoloji Müzesi,Muğla
Kaunos Antik Kenti,Muğla
Bergama Antik Kenti,İzmir
İshak Paşa Sarayı,Ağrı
Çifte Minareli Medrese,Erzurum
Ani Harabeleri,Kars
Aslantepe Ören Yeri,Malatya
Akdamar Kilisesi,Van
Harput Kalesi,Elazığ
Malazgirt Kalesi,Muş
Pertek Kalesi,Tunceli
Ankara Kalesi,Ankara
Gordion Antik Kenti,Ankara
İnce Minareli Medrese,Konya
Çatalhöyük Neolitik Kenti,Konya
Odunpazarı Evleri,Eskişehir
Kaymaklı Yeraltı Şehri,Nevşehir
Göreme Açık Hava Müzesi,Nevşehir
Güzelyurt,Aksaray
Ihlara Vadisi,Aksaray
Anadolu Medeniyetleri Müzesi,Ankara
Yazılıkaya,Eskişehir
Zeugma Antik Kenti,Gaziantep
Diyarbakır Surları,Diyarbakır
Göbeklitepe,Şanlıurfa
Harran Evleri,Şanlıurfa
Balıklıgöl,Şanlıurfa
Nemrut Dağı,Adıyaman
Mor Gabriel Manastırı,Mardin
Halfeti,Şanlıurfa
Deyrulzafaran Manastırı,Mardin
Malabadi Köprüsü,Diyarbakır
Hasankeyf,Batman
Tarihi Yarımada,İstanbul
Ayasofya,İstanbul
Topkapı Sarayı,İstanbul
Sultanahmet Camii,İstanbul
Galata Kulesi,İstanbul
Aya Yorgi Kilisesi,İstanbul
Dolmabahçe Sarayı,İstanbul
Selimiye Camii,Edirne
Truva Antik Kenti,Çanakkale
Gelibolu Yarımadası Tarihi Milli Parkı,Çanakkale
Ulu Camii,Bursa
Taksiyarhis Kilisesi,Balıkesir
Yürüyen Köşk,Yalova
Koza Han,Bursa
Küçük Mustafa Paşa Hamamı,İstanbul
Anitkabir,Ankara